prompt,completion
"Translate the following poem, while retaining the pre-notated scansion pattern of meter-aligned syllable stresses. Note the stress marking in the input. Reproduce in the adapted English version the same syllable stress-pattern as is marked-out in the input: 
ма́нит заграни́ца 
и ещё́ крова́ть 
во́т бы пря́м с крова́тью 
иммигри́ровать","Here is the English-language version of the lyric, analogous in its signification, meter, as well as its stressed syllable pattern to the Russian source verses: 
témpted by the fóreign 
but my béd is gréat 
hów to stáy in béd but 
álso immigráte"
"(Название:) “Не станет ни Европы, ни Америки…“ 
(Поэт:) Георгий Иванов 

Не станет ни Европы, ни Америки, 
Ни Царскосельских парков, ни Москвы — 
Припадок атомической истерики 
Всё распылит в сияньи синевы. 

Потом над морем ласково протянется 
Прозрачный, всепрощающий дымок… 
И Тот, кто мог помочь и не помог, 
В предвечном одиночестве останется.","(Title:) “There will not be a Europe, nor America…” 
(Poet:) Georgiy Ivanov 

There will not be a Europe, nor America, 
Nor Royal Village parks, nor Moscow spires – 
A frenzied fit of nuclear hysteria 
Would pulverize it all in blueing fires. 

And then would stretch above the waters tenderly 
An all-forgiving and translucent mist… 
And He, who could’ve helped but never helped, 
In sempiternal loneness would persist."
"(Название:) ОСОБЫЙ РЕЗОН 
(Поэт:) Янка Дягилева 

По перекошенным ртам, продравшим веки кротам, 
Видна ошибка ростка. 
По близоруким глазам, не веря глупым слезам, 
Ползет конвейер песка. 

Пока не вспомнит рука, дрожит кастет у виска, 
Зовет косая доска. 
Я у дверного глазка, под каблуком потолка. 

У входа было яйцо или крутое словцо. 
Я обращаю лицо. 
Кошмаром дернулся сон. Новорожденный масон 
Поет со мной в унисон. 

Крылатый ветер вдали верхушки скал опалил, 
А здесь ласкает газон. 
На то особый резон. 

На то особый отдел, 
На то особый режим, 
На то особый резон.

Проникший в щели конвой заклеит окна травой,… 
Нас поведут на убой. 
Перекрестится герой, шагнет раздвинутый строй, 
Вперед, за Родину в бой! 
И сгинут злые враги, кто не надел сапоги, 
Кто не простился с собой, 
Кто не покончил с собой, 
Всех поведут на убой. 

На то особый отдел, 
На то особый режим, 
На то особый резон.","(Title:) SPECIAL REASON 
(Poet:) Yanka Dyaghileva 

Over-contortion of lips, in moles that tore over lids, 
Reveals the flaw of the sprout, 
Over the near-sighted eyes, not trusting idiot tears, 
Crawls a conveyer of sand. 

Until recalled by the hand, brass knuckles throb by the head, 
The slanted cutting board calls. 
I’m at the peephole indoors, under the heel of the roof. 

There was an egg by the door, or else a word slang so raw,  
It got me turning my eyes. 
With nightmare trembles a dream. In perfect unison sing 
A newborn mason and I. 

A winged wind far away would sear the cliff tops with flame, 
But here caresses the lawn. 
For that a special raison. 

For that a specialized branch, 
For that a special regime, 
For that a special raison. 

The convoy, slipped through the cracks, will gag the windows with grass… 
Then we’ll get led to our death. 
When hero crosses himself, the whole formation would step, 
For peace and homeland, advance! 
And evil foes will be gone, who never slipped their boots on, 
Who never crossed themselves off, 
Who never slaughtered their own, 
We all would go to our doom. 

For that a specialized branch, 
For that a special regime, 
For that a special raison."
"(Название:) “Ты не расслышала, а я не повторил…“ 
(Поэт:) Георгий Иванов 

Ты не расслышала, а я не повторил. 
Был Петербург, апрель, закатный час, 
Сиянье, волны, каменные львы… 
И ветерок с Невы 
Договорил за нас. 

Ты улыбалась. Ты не поняла, 
Что будет с нами, что нас ждёт. 
Черёмуха в твоих руках цвела… 
Вот наша жизнь прошла, 
А это не пройдёт.","(Title:) “You didn’t hear me then, I failed to say again…” 
(Poet:) Georgiy Ivanov 

You didn’t hear me then, I failed to say again, 
In Petersburg, in April, in the dusk, 
The shining, granite lions, waves… 
A Neva breeze blew in 
And spoke the rest for us. 

And you still smiled. You didn’t understand, 
What comes of us, what was awaiting, 
Bird-cherry flowers budded in your arms... 
So, now our life had passed, 
But this remains unending."
"(Название:) ДЕКОРАЦИИ 
(Поэт:) Янка Дягилева

Фальшивый крест на мосту сгорел 
Он был из бумаги, он был вчера 
Листва упала пустым мешком 
Над городом вьюга из разных мест  
Великий праздник босых идей 
Посеем хлеб — соберём тростник 
За сахар в чай заплати головой 
Получишь соль на чужой земле  
Протяжным воем весёлый лай 
На заднем фоне горит трава 
Расчётной книжкой моё лицо 
Сигнал тревоги — ложимся спать  
Упрямый сторож глядит вперёд 
Рассеяв думы о злой жене 
Гремит ключами дремучий лес 
Втирает стёкла весёлый чёрт  
Смотри с балкона — увидишь мост 
Закрой глаза и увидишь крест 
Сорви парик и почуешь дым 
Запомни — снова горит картон","(Title:) DECORATIONS
(Poet:) Yanka Dyaghileva

That phony cross burning on the bridge 
Was drawn on cardboard, was yesterday 
The leafs all fell as one empty bag 
The town snowed-in out of many routes 

The epic feast of bare feet ideas 
We're sawing bread for to gather reeds 
For sugared tea with a head to pay 
You’ll end with salt on a foreign land 

The joyous barking an endless wail 
The grasses burn in a backdrop way 
A checkbook ledger my face become 
A warning signal – our sleepy time 

The stubborn watchman glares up ahead 
Dispelling thought of how mean the wife 
With rattled keychains what dreary woods 
The jolly devil the glasses rubs 

From balcony look at the bridge – it’s close 
Now lid your eyes – you would see the cross 
Remove your wig – and start sniffing smoke 
Remember – cardboard aflame once more"
"(Название:) ЭПИГРАММА НА СТАЛИНА  
(Поэт:) Осип Мандельштам 

Мы живем, под собою не чуя страны, 
Наши речи за десять шагов не слышны, 
А где хватит на полразговорца, 
Там припомнят кремлёвского горца. 

Его толстые пальцы, как черви, жирны, 
А слова, как пудовые гири, верны, 
Тараканьи смеются усища, 
И сияют его голенища. 

А вокруг него сброд тонкошеих вождей, 
Он играет услугами полулюдей. 
Кто свистит, кто мяучит, кто хнычет, 
Он один лишь бабачит и тычет, 

Как подкову, кует за указом указ — 
Кому в пах, кому в лоб, кому в бровь, кому в глаз. 
Что ни казнь у него — то малина 
И широкая грудь осетина.","(Title:) THE STALIN EPIGRAM 
(Poet:) Osip Mandelshtam 

We all live, underneath us no country we sense, 
Our speeches unheard of from more than ten steps, 
Yet, where sounds suffice for a half-talk, 
There, the Kremlin highlander is name-dropped. 

How his corpulent fingers, like earthworms, are fat, 
And his words, pound-weights, absolutely correct, 
Chime with laughter the cockroachy whiskers, 
And his boot-tops’ sublimity glistens. 

While surrounds him a gang of neck-thinnest of chiefs, 
He plays soundly on half-mens’ servileness to please. 
Some are whistling, some meowing, some moping, 
He alone merely banging and poking, 

As if horseshoes, he’s forging out endless commands — 
In the groin, a forehead, a brow, or the eyes. 
Executions for him – pressing berries, 
Wide Ossetian chest overbearing."
"(Название:) КОГО-ТО ЕЩЁ 
(Поэт:) Егор Летов 

Ещё один стукач стоит за спиной 
Мой день опутан проволокой и зимой 
На каждом говне отпечаток лица 
На каждом лице ожидание конца  
Похоже, что это надолго 
Похоже, что это повадка 
Похоже, что это уловка 
Похоже, что это нехватка 
КОГО-ТО ЕЩЁ 
КОГО-ТО ЕЩЁ 

Опухшая мякоть внутри нас гниёт 
Внутри плесневеет змеёй пулемёт 
Стаканы полны ядовитым дождём 
Давай посмеёмся давай подождём,  
Похоже, что это надолго 
Похоже, что это повадка 
Похоже, что это уловка 
Похоже, что это нехватка 
КОГО-ТО ЕЩЁ 
КОГО-ТО ЕЩЁ 

Колючая проволока и вообще 
Блажен кто лежит на кладбище 
На всех не хватило, но нам всё равно 
И мы все выжираем любое говно  
Похоже, что это надолго 
Похоже, что это повадка 
Похоже, что это уловка 
Похоже, что это нехватка 
КОГО-ТО ЕЩЁ 
КОГО-ТО ЕЩЁ","(Title:) SOMEBODY MORE 
(Poet:) Yegor Letov 

Behind my shoulder yet another informer 
My day is tangled up in wire and winter 
Into every pile of shit imprinted faces bend 
Over every face expectancy of the end  
But it looks like, it’s for the long haul 
Looks like it is habitual 
Looks like it’s quite a catch-all 
Looks like it’s just a lack of 
SOMEBODY MORE 
OF SOMEBODY MORE 

Swollen pulp within us rotting in place 
On the inside molding a machine gun snakes 
Where our cups are full indeed of a poison rain 
So, let’s have another laugh, yeah, let’s just wait,  
Looks like, it’s for the long haul 
Looks like it is habitual 
Looks like it’s quite a catch-all 
Looks like it’s just a lack of 
SOMEBODY MORE 
OF SOMEBODY MORE 

If each wire looks barbed, it actually is
Blessed are they lounged at cemeteries
Not quite enough for all, but we still don’t care 
No shit exists so noxious, we don’t binge and share  
But it looks like, it’s for the long haul 
Looks like it is habitual 
Looks like it’s quite a catch-all 
Looks like it’s just a lack of 
SOMEBODY MORE 
OF SOMEBODY MORE"
"(Название:) ДВЕНАДЦАТЬ (Сегмент 3) 
(Поэт:) Александр Блок 

Как пошли наши ребята — 
В красной гвардии служить — 
В красной гвардии служить — 
Буйну голову сложить! 

Эх ты, горе-горькое, 
Сладкое житье! 
Рваное пальтишко, 
Австрийское ружье! 

Мы на го́ре всем буржуям 
Мировой пожар раздуем, 
Мировой пожар в крови — 
Господи, благослови!","(Title:) TWELVE (Segment 3) 
(Poet:) Alexander Blok 

How our local kids went off — 
In the Red Guard went to serve — 
In the Red Guard went to serve — 
Drop their hotheads to the earth! 

Oh you, bitter-bitterness, 
Oh, sweet life of fun! 
A torn up little overcoat, 
An Austrian gun! 

To grieve bouzhies everyplace 
We'll ignite a world-sized blaze, 
Fire across the world in blood! — 
Global fire, so bless us God!"
"(Название:) ЕВАНГЕЛИЕ ОТ ЕГОРКИ 
(Поэт:) Егор Летов 

Зоркие окна. 
Кто согреет зоркие окна?.. 
Пожалей беззвучными словами 
Своего оловянного Христа! 

Жадные пальцы. 
Кто накормит жадные пальцы? 
Обними голодными руками 
Своего не-спасённого Христа! 

Беглые тени. 
Кто поймает беглые тени? 
Спеленай надёжными цепями 
Своего безнадёжного Христа! 

Скользкие вены; 
Скользкие тревожные вены… 
Поцелуй холодными губами 
Своего за-зеркального Христа! 

Круглое небо – 
Кто накажет круглое небо? 
Задуши послушными руками 
Своего непослушного Христа!","(Title:) THE GOSPEL ACCORDING TO YEGOR 
(Poet:) Yegor Letov 

Vigilant windows. 
Who could warm such vigilant windows?.. 
Won’t you silently verbalize your mercy 
Unto your tin-man of a Christ! 

Covetous fingers. 
Who could feed such covetous fingers? 
Go embrace with hungriest of limbs now 
Your unredeemed un-rescuable Christ! 

Fugitive shadows. 
Who could capture fugitive shadows?.. 
Wrap in chains commensurately trusty 
Your own hopeless untrustworthy Christ! 

Slippery arm veins; 
Flighty ever worrisome arm veins… 
Won’t you kiss with your icy lips now 
Your own captured-in-a-mirror Christ! 

Circular heavens – 
Who could punish circular heavens? 
Suffocate now with compliant fingers 
Your very own ever non-compliant Christ!"
"(Название:) “Эоловой арфой вздыхает печаль…“ (Фрагмент) 
(Поэт:) Георгий Иванов 

Эоловой арфой вздыхает печаль 
И звёзд восковых зажигаются свечи 
И дальний закат, как персидская шаль, 
Которой окутаны нежные плечи.","(Title:) “Eolian harp-like the doldrums exhale…” (Fragment) 
(Poet:) Georgiy Ivanov 

Eolian harp-like the doldrums exhale, 
Igniting the candles, the stars that are waxen 
And sunset out far, like a Syrian veil, 
Enshawling beneath it soft shoulders relaxing."
"(Название:) РЕЙГАН-ПРОВОКАТОР 
(Поэт:) Андрей “Свин” Панов 

Опять нелётная погода, 
И от судьбы не убежать. 
Мы объявляем мораторий — 
Американцам наплевать… 
В Женеве все переговоры 
Давно уже зашли в тупик. 
Рейкьявик дал понять народу — 
Как Горбачёв у нас велик. 

А… 
Рейган-провокатор! Рейган-провокатор! 
Рейган-провокатор! Рейган-провокатор! 

В Неваде так же, как и раньше, 
Взрывают много килотонн. 
Рэй-ган устроил из планеты 
Огромный мощный полигон. 
Народы в голоде и в войнах 
Теряют тысячи жизне́й; 
А в Вашингтоне, Белом доме 
Решают как убить детей. 

Тот… 
Рейган-провокатор! Рейган-провокатор! 
Рейган-провокатор! Рейган-провокатор!","(Title:) REAGAN PROVOCATEUR 
(Poet:) Andrey “Swine” Panov 

Again a weather barring travel, 
But fate not easily escaped, 
Our moratorium is blaring — 
But USA don't give a shit… 
Negotiations in Geneva, 
Achieve an impasse again, 
Reykjavik really showed the people — 
Our Gorbachev the greater man. 

And… 
Reagan — provocateur! Reagan — provocateur! 
Reagan — provocateur! Reagan — provocateur! 

While in Nevada, same as ever, 
They blow up many kilotons, 
Ray-gun is splitting up our planet 
In mighty weapons testing zones. 
Amid the war and hunger, peoples 
Are losing millions of lives; 
While back in Washington, the White House
Tries to ensure no child survives. 

Except… 
Reagan — provocateur! Reagan — provocateur! 
Reagan — provocateur! Reagan — provocateur!"
"(Название:) ЦЕПЬ 
(Поэт:) Валерий Перелешин 

Повторяются звенья: 
та же форма и вес, 
и от их повторенья 
не дождаться чудес. 

Цепь надета на обод, 
обод — часть колеса. 
Им орудует робот: 
доллар за полчаса. 

Голова рассчитала 
всё, что можно учесть, 
окисленье металла 
(беззащитная месть). 

Вот поправлена спица, 
устранён перекос, 
вот гомункул-тупица 
отстранён за износ. 

Пожалеть не придётся 
об истлевшем звене: 
если цепь оборвётся — 
непременно на мне!","(Title:) CHAIN 
(Poet:) Valery Pereleshin 

Links recur in progression 
– equal weights, matching forms – 
and from their repetition 
no great miracle comes. 

Chains are placed on a sprocket 
which inheres to a wheel, 
which is worked by a robot: 
50 cents – half-hour deal. 

Now, the noggin has factored 
all that could be arranged, 
the corrosion of metal. 
(and defenseless revenge). 

Here a spoke gets refinement, 
misalignments – repair, 
while homunculus-dummies 
get retired from wear. 

But one won’t be regretting 
how the linkage erodes: 
if the chain begins snapping, 
that’s on me, in full course!"
